Marca temporal,1. Nombre de usuario en el juego,2. ¿Cuál es tu puntuación actual en el juego?,3. Nacionalidad,4. ¿Tienes experiencia en el juego?,5. ¿Con cual de los siguientes perfiles te identificas mas?,"6. Indícanos por favor tus reservas en oro actuales (formato numero sin (.) ni (,) ) ","7. ¿Cuál es tu nivel de producción de puntos de investigación por hora? (el dato lo sacas dando clic en el consejero académico por si no lo sabes, si tiene decimales coloca (.) como separador ejemplo: 701.78)",8. De los perfiles militares en ikariam que son floteros: jugadores que tienen experiencia con unidades marítimas y saben de la guerra en el mar; y troperos: jugadores con habilidades en la guerra en tierra ¿ cual crees que es tu perfil ?,9. En la rama de investigación Navegación- Flota marítima y otros cual es el tu ultimo nivel investigado?,10. En la rama Economía (Generación de recursos y mejoras en la producción) ¿ cual es tu ultimo nivel investigado?,11. En la rama de ciencia (unidades y mejoras únicas en el juego) ¿ cual es tu ultimo nivel investigado?,12. En la rama milicia (Defensa y ataque militar ) ¿  cual es tu ultimo nivel investigado?,13. ¿ En que nivel se encuentran tus cuartes?,14. ¿ En que nivel se encuentran tus astilleros de guerra?,15 ¿ sabes usar milagros y sus usos en ikariam?,,13. Cuantas ciudades tienes actualmente? incluye la capital, [Fila 1],,¿Cuántas horas al día le dedicas a tu cuenta?
6/10/2023 22:09:54,Rykuvi,75560,Uruguaya,de 6 años en adelante ( jugador de la vieja escuela),"Guerrero: Me gusta participar en eventos organizados por alianzas o otros jugadores, la estrategia y la guerra me gusta",308166,475.5,Tropero,Contrapeso,Especialidades culinarias,Óptica,Pólvora,11 a 20,11 a 20,SI,,,,,
6/10/2023 22:42:15,Rbka,63422,venezolana,regrese a ikariam despues de un retiro ( jugador que regreso para recordar viejos tiempos),casero y guerrero ,693471,385.84,Mixto: Considero que tengo flexibilidad y puedo servir en cualquier conflicto en lo que necesiten,Diplomacia,Asistencia,Experimentos,Logística,0 a 10,0 a 10,SI,,,,,
6/10/2023 22:42:47,volzen,165000,mexicana,de 6 años en adelante ( jugador de la vieja escuela),"Guerrero: Me gusta participar en eventos organizados por alianzas o otros jugadores, la estrategia y la guerra me gusta",15000000,950.9,Tropero,Base para morteros,Almacén,Religión Estatal,Futuro del Militar (Nivel 1) y superior,11 a 20,11 a 20,SI,,,,,
6/10/2023 23:32:57,Zel,134493,Mexicana ,regrese a ikariam despues de un retiro ( jugador que regreso para recordar viejos tiempos),"Pirata: Me gusta estar robando recursos y saqueando sin distincion. Si me meto en problemas, pues veremos que pasa",5000421,660.81,Tropero,Propulsión a rueda con paletas,Burocracia,Religión Estatal,Fundición de cañones,11 a 20,11 a 20,SI,,,,,
6/10/2023 23:47:12,ReTy,148,Boliviana,de 0 a 1 año (primera ves en el juego),"Pirata: Me gusta estar robando recursos y saqueando sin distincion. Si me meto en problemas, pues veremos que pasa",28206000,442.1,Tropero,Contrapeso,Legislación,Lápiz mecánico,Logística,0 a 10,0 a 10,SI,,,,,
6/10/2023 23:49:34,Alcarin,128597,Chilena,regrese a ikariam despues de un retiro ( jugador que regreso para recordar viejos tiempos),"Mezcla entre guerrero, fabricante, pirata y casillero... no me puedo identificar solo con uno. ",10700000,635.86,Flotero,Base para morteros,Burocracia,Vuelo de pájaro,Robótica,11 a 20,11 a 20,SI,,,,,
6/10/2023 23:59:43,Darm,64607,Chileno,regrese a ikariam despues de un retiro ( jugador que regreso para recordar viejos tiempos),"Guerrero: Me gusta participar en eventos organizados por alianzas o otros jugadores, la estrategia y la guerra me gusta",5000000,383.48,Tropero,Base para morteros,Almacén,Correo neumático,Robótica,11 a 20,0 a 10,SI,,,,,
7/10/2023 0:29:34,Klairo,119429,Peru,de 6 años en adelante ( jugador de la vieja escuela),"Guerrero: Me gusta participar en eventos organizados por alianzas o otros jugadores, la estrategia y la guerra me gusta",120517,796.86,Tropero,Cartas de navegación,Especialidades culinarias,Vuelo de pájaro,Robótica,11 a 20,11 a 20,SI,,,,,
7/10/2023 1:11:45,Gallaecia ,46464,Española ,regrese a ikariam despues de un retiro ( jugador que regreso para recordar viejos tiempos),"Fabricante: Se que no conozco mucho de guerra, pero puedo apoyar en otras actividades como entrega de recursos para que mis camaradas peleen por mi",836131,425.06,Flotero,Diplomacia,Nivel de agua,Anatomía,Logística,11 a 20,0 a 10,NO,,,,,
7/10/2023 7:14:26,Chindasvinto,66385,España,de 2 años a 5 años ( jugador experto y juega en otros mundos),"Guerrero: Me gusta participar en eventos organizados por alianzas o otros jugadores, la estrategia y la guerra me gusta",922486,462.16,Tropero,Cartas de navegación,Nivel de agua,Experimentos,Pólvora,0 a 10,0 a 10,SI,,,,,
7/10/2023 12:26:47,Andres,60783,colombiano,regrese a ikariam despues de un retiro ( jugador que regreso para recordar viejos tiempos),"Guerrero: Me gusta participar en eventos organizados por alianzas o otros jugadores, la estrategia y la guerra me gusta",1454521,762.7,Mixto: Considero que tengo flexibilidad y puedo servir en cualquier conflicto en lo que necesiten,Cartas de navegación,Nivel de agua,Lápiz mecánico,Pólvora,11 a 20,11 a 20,SI,,,,,
7/10/2023 13:11:15,Venom ,56790,México ,de 6 años en adelante ( jugador de la vieja escuela),"Guerrero: Me gusta participar en eventos organizados por alianzas o otros jugadores, la estrategia y la guerra me gusta",17000000,553.32,Flotero,Propulsión a rueda con paletas,Nivel de agua,Óptica,Pólvora,11 a 20,11 a 20,SI,,,,,
